custo;valor debito;custo fixo;custo variavel;pendente;data pagto;semana;data pagamento;tipo;dt_pagto_bq;dt_custo_bq
feira;50;1;0;0;01/12/2016;4ª semana;31/12/2016;feira;2016-12-01;2016-12-31
fogos;35;1;0;0;01/12/2016;fim de semana;31/12/2016;pessoal;2016-12-01;2016-12-31
padaria;29.08;1;0;0;01/12/2016;fim de semana;31/12/2016;padaria;2016-12-01;2016-12-31
mercado;48.81;1;0;0;01/12/2016;fim de semana;31/12/2016;mercado;2016-12-01;2016-12-31
mercado;17.99;1;0;0;01/12/2016;fim de semana;31/12/2016;mercado;2016-12-01;2016-12-31
sorvete;14.2;1;0;0;01/12/2016;fim de semana;31/12/2016;alimentação;2016-12-01;2016-12-31
benção;37;1;0;0;01/12/2016;fim de semana;31/12/2016;benção;2016-12-01;2016-12-31
cabelereiro;30;1;0;0;01/12/2016;4ª semana;30/12/2016;pessoal;2016-12-01;2016-12-30
padaria;22.48;1;0;0;01/12/2016;4ª semana;30/12/2016;padaria;2016-12-01;2016-12-30
almoço samuel;7.54;1;0;0;01/12/2016;4ª semana;30/12/2016;almoço;2016-12-01;2016-12-30
guapira;65;1;0;0;01/12/2016;4ª semana;30/12/2016;lazer;2016-12-01;2016-12-30
costela de porco;30;1;0;0;01/12/2016;4ª semana;30/12/2016;almoço;2016-12-01;2016-12-30
mercado;195.59;1;0;0;01/12/2016;4ª semana;30/12/2016;mercado;2016-12-01;2016-12-30
sorvete;21;1;0;0;01/12/2016;4ª semana;30/12/2016;alimentação;2016-12-01;2016-12-30
lanche guapira;45;1;0;0;01/12/2016;4ª semana;30/12/2016;alimentação;2016-12-01;2016-12-30
agua/chocolatado;7.79;1;0;0;01/12/2016;4ª semana;29/12/2016;alimentação;2016-12-01;2016-12-29
mercado;27.3;1;0;0;01/12/2016;4ª semana;28/12/2016;mercado;2016-12-01;2016-12-28
suco;3.5;1;0;0;01/12/2016;4ª semana;28/12/2016;alimentação;2016-12-01;2016-12-28
mercado;5.3;1;0;0;01/12/2016;4ª semana;28/12/2016;mercado;2016-12-01;2016-12-28
milk shake;10;1;0;0;01/12/2016;4ª semana;26/12/2016;alimentação;2016-12-01;2016-12-26
combustivel;180.17;1;0;0;01/12/2016;fim de semana;25/12/2016;carro;2016-12-01;2016-12-25
cabelereiro;50;1;0;0;01/12/2016;fim de semana;24/12/2016;pessoal;2016-12-01;2016-12-24
feira;50;1;0;0;01/12/2016;fim de semana;24/12/2016;feira;2016-12-01;2016-12-24
almoço;20.9;1;0;0;01/12/2016;3ª semana;23/12/2016;almoço;2016-12-01;2016-12-23
comgas;31.9;1;0;0;01/12/2016;3ª semana;22/12/2016;casa;2016-12-01;2016-12-22
multa;153.23;1;0;0;01/12/2016;3ª semana;22/12/2016;pessoal;2016-12-01;2016-12-22
suco;6.5;1;0;0;01/12/2016;3ª semana;22/12/2016;alimentação;2016-12-01;2016-12-22
wendys hamb;20.5;1;0;0;01/12/2016;3ª semana;22/12/2016;alimentação;2016-12-01;2016-12-22
ferro de passar roupa;102.99;1;0;0;01/12/2016;3ª semana;21/12/2016;pessoal;2016-12-01;2016-12-21
gasolina;50;1;0;0;01/12/2016;3ª semana;21/12/2016;carro;2016-12-01;2016-12-21
unha pe e mao;63;1;0;0;01/12/2016;3ª semana;21/12/2016;pessoal;2016-12-01;2016-12-21
lanche;2.2;1;0;0;01/12/2016;3ª semana;20/12/2016;alimentação;2016-12-01;2016-12-20
salgado;90;1;0;0;01/12/2016;3ª semana;20/12/2016;pessoal;2016-12-01;2016-12-20
salgado lanche;16.2;1;0;0;01/12/2016;3ª semana;20/12/2016;alimentação;2016-12-01;2016-12-20
panetonne;20;1;0;0;01/12/2016;3ª semana;20/12/2016;alimentação;2016-12-01;2016-12-20
divergente pre 13;181.8;1;0;0;01/12/2016;2ª semana;20/12/2016;divergente;2016-12-01;2016-12-20
divergente pos 13;38;1;0;0;01/12/2016;3ª semana;20/12/2016;divergente;2016-12-01;2016-12-20
sorvete hagg;13;1;0;0;01/12/2016;3ª semana;19/12/2016;alimentação;2016-12-01;2016-12-19
mercado;22.79;1;0;0;01/12/2016;fim de semana;18/12/2016;mercado;2016-12-01;2016-12-18
feira;70;1;0;0;01/12/2016;fim de semana;18/12/2016;feira;2016-12-01;2016-12-18
brooksfield;199.76;1;0;0;01/12/2016;fim de semana;17/12/2016;pessoal;2016-12-01;2016-12-17
janta samuel;20.49;1;0;0;01/12/2016;fim de semana;17/12/2016;lazer;2016-12-01;2016-12-17
estacionamento;32;1;0;0;01/12/2016;fim de semana;17/12/2016;carro;2016-12-01;2016-12-17
sorvete;13;1;0;0;01/12/2016;2ª semana;16/12/2016;alimentação;2016-12-01;2016-12-16
mc donalds;16;1;0;0;01/12/2016;2ª semana;16/12/2016;alimentação;2016-12-01;2016-12-16
festa happy hour;30;1;0;0;01/12/2016;2ª semana;16/12/2016;lazer;2016-12-01;2016-12-16
suco;3.5;1;0;0;01/12/2016;2ª semana;16/12/2016;alimentação;2016-12-01;2016-12-16
consorcio;636.17;1;0;0;01/12/2016;2ª semana;15/12/2016;investimento;2016-12-01;2016-12-15
UNICEF;50;1;0;0;01/12/2016;2ª semana;15/12/2016;doação;2016-12-01;2016-12-15
lanche;2.2;1;0;0;01/12/2016;2ª semana;15/12/2016;alimentação;2016-12-01;2016-12-15
bk lanche;16.9;1;0;0;01/12/2016;2ª semana;15/12/2016;alimentação;2016-12-01;2016-12-15
suco;3.5;1;0;0;01/12/2016;2ª semana;15/12/2016;alimentação;2016-12-01;2016-12-15
contador;145;1;0;0;01/12/2016;2ª semana;13/12/2016;contador;2016-12-01;2016-12-13
caldo verde;4;1;0;0;01/12/2016;2ª semana;13/12/2016;alimentação;2016-12-01;2016-12-13
café;4.98;1;0;0;01/12/2016;2ª semana;13/12/2016;alimentação;2016-12-01;2016-12-13
suco;3.5;1;0;0;01/12/2016;2ª semana;13/12/2016;alimentação;2016-12-01;2016-12-13
starbucks;6.9;1;0;0;01/12/2016;2ª semana;13/12/2016;alimentação;2016-12-01;2016-12-13
salgado;9.2;1;0;0;01/12/2016;2ª semana;13/12/2016;alimentação;2016-12-01;2016-12-13
doces/pipoca;8;1;0;0;01/12/2016;2ª semana;12/12/2016;alimentação;2016-12-01;2016-12-12
bolacha;11;1;0;0;01/12/2016;1ª semana;09/12/2016;alimentação;2016-12-01;2016-12-09
custo total aluguel;1437.5;1;0;0;01/12/2016;1ª semana;08/12/2016;casa;2016-12-01;2016-12-08
café;6.75;1;0;0;01/12/2016;1ª semana;08/12/2016;alimentação;2016-12-01;2016-12-08
suco metro;3.5;1;0;0;01/12/2016;1ª semana;08/12/2016;alimentação;2016-12-01;2016-12-08
café;8.5;1;0;0;01/12/2016;1ª semana;08/12/2016;alimentação;2016-12-01;2016-12-08
suco metro;3.5;1;0;0;01/12/2016;1ª semana;07/12/2016;alimentação;2016-12-01;2016-12-07
mcdonalds;15.5;1;0;0;01/12/2016;1ª semana;06/12/2016;alimentação;2016-12-01;2016-12-06
taxa conta corrente;52.4;1;0;0;01/12/2016;1ª semana;05/12/2016;banco;2016-12-01;2016-12-05
lis/juros;32.66;1;0;0;01/12/2016;1ª semana;05/12/2016;banco;2016-12-01;2016-12-05
benção;100;0;1;0;01/12/2016;fim de semana;04/12/2016;pessoal;2016-12-01;2016-12-04
feira;70;0;1;0;01/12/2016;fim de semana;04/12/2016;feira;2016-12-01;2016-12-04
estacionamento;200;0;1;0;01/12/2016;fim de semana;03/12/2016;carro;2016-12-01;2016-12-03
mercado;87.12;0;1;0;01/12/2016;fim de semana;03/12/2016;mercado;2016-12-01;2016-12-03
michelle;18.25;0;1;0;01/12/2016;1ª semana;03/12/2016;pessoal;2016-12-01;2016-12-03
net;368.68;1;0;0;01/12/2016;1ª semana;02/12/2016;casa;2016-12-01;2016-12-02
luz;87.36;1;0;0;01/12/2016;1ª semana;02/12/2016;casa;2016-12-01;2016-12-02
cartão de credito;3403.55;1;0;0;01/12/2016;1ª semana;02/12/2016;cartão credito;2016-12-01;2016-12-02
sptransp;230;1;0;0;01/12/2016;1ª semana;02/12/2016;transporte;2016-12-01;2016-12-02
mercado;64.2;0;1;0;01/12/2016;1ª semana;02/12/2016;mercado;2016-12-01;2016-12-02
deposito benção;200;0;1;0;01/12/2016;1ª semana;02/12/2016;pessoal;2016-12-01;2016-12-02
sptransp;3.75;0;1;0;01/12/2016;1ª semana;02/12/2016;transporte;2016-12-01;2016-12-02
tapioca;10;0;1;0;01/12/2016;1ª semana;01/12/2016;alimentação;2016-12-01;2016-12-01
padaria;22.56;0;1;0;01/12/2016;1ª semana;01/12/2016;padaria;2016-12-01;2016-12-01
iof;5.79;0;1;0;01/12/2016;1ª semana;01/12/2016;banco;2016-12-01;2016-12-01
acai;8;0;1;0;01/12/2016;1ª semana;01/12/2016;alimentação;2016-12-01;2016-12-01
agua;3;0;1;0;01/11/2016;5ª semana;30/11/2016;alimentação;2016-11-01;2016-11-30
suco;3.5;0;1;0;01/11/2016;5ª semana;30/11/2016;alimentação;2016-11-01;2016-11-30
bolacha;6;0;1;0;01/11/2016;5ª semana;29/11/2016;alimentação;2016-11-01;2016-11-29
coxinha;7.9;0;1;0;01/11/2016;5ª semana;29/11/2016;alimentação;2016-11-01;2016-11-29
comgas;23.55;1;0;0;01/11/2016;5ª semana;28/11/2016;casa;2016-11-01;2016-11-28
estacionamento;8;0;1;0;01/11/2016;5ª semana;28/11/2016;carro;2016-11-01;2016-11-28
presente;100;0;1;0;01/11/2016;5ª semana;28/11/2016;pessoal;2016-11-01;2016-11-28
agua;2.99;0;1;0;01/11/2016;5ª semana;28/11/2016;alimentação;2016-11-01;2016-11-28
bolo;15;0;1;0;01/11/2016;5ª semana;28/11/2016;alimentação;2016-11-01;2016-11-28
material para varal;24.4;0;1;0;01/11/2016;5ª semana;28/11/2016;pessoal;2016-11-01;2016-11-28
