descrição;data;lançamento;ag./origem;valor (R$);valor_convertido_saida (R$);valor_convertido_entrada (R$);REF;dt_pagto_bq;dt_custo_bq
saldo;02/01/2020;SALDO INICIAL;;10;0;10;01/01/2020;2020-01-01;2020-01-02
transferencia;02/01/2020;DOC INT 098997;4175;-100;100;0;01/01/2020;2020-01-01;2020-01-02
transporte;02/01/2020;ELECTRONPERTO METRO;9212;-50;50;0;01/01/2020;2020-01-01;2020-01-02
compras;02/01/2020;ELECTRONRETRO EXPLO;9212;-2;2;0;01/01/2020;2020-01-01;2020-01-02
banco;02/01/2020;IOF;;-0,24;0.24;0;01/01/2020;2020-01-01;2020-01-02
banco;02/01/2020;RES APLIC AUT MAIS;;152,24;0;152,24;01/01/2020;2020-01-01;2020-01-02
saldo;02/01/2020;SALDO APLIC AUT MAIS;;1109,64;0;1109,64;01/01/2020;2020-01-01;2020-01-02
padaria;03/01/2020;ELECTRONBELLA ATALI;9212;-26,3;26.3;0;01/01/2020;2020-01-01;2020-01-03
farmacia;03/01/2020;ELECTRONDROGASIL 17;9212;-11,49;11.49;0;01/01/2020;2020-01-01;2020-01-03
farmacia;03/01/2020;ELECTRONDROGASIL 17;9212;-55,5;55.5;0;01/01/2020;2020-01-01;2020-01-03
alimentação;03/01/2020;ELECTRONMILK SHAKE;9212;-11;11;0;01/01/2020;2020-01-01;2020-01-03
compras;03/01/2020;ELECTRONPAG*WpaperM;9212;-20;20;0;01/01/2020;2020-01-01;2020-01-03
alimentação;03/01/2020;ELECTRONTTOMATOES;9212;-9,45;9.45;0;01/01/2020;2020-01-01;2020-01-03
compras;03/01/2020;ELECTRONVILACHIC;9212;-5,5;5.5;0;01/01/2020;2020-01-01;2020-01-03
banco;03/01/2020;TAR PACOTE ITAU   DEZ/19;9293;-76,9;76.9;0;01/01/2020;2020-01-01;2020-01-03
banco;03/01/2020;RES APLIC AUT MAIS;;216,14;0;216,14;01/01/2020;2020-01-01;2020-01-03
saldo;03/01/2020;SALDO APLIC AUT MAIS;;893,5;0;893,5;01/01/2020;2020-01-01;2020-01-03
transferencia;06/01/2020;DOC INT 381229;4175;-15;15;0;01/01/2020;2020-01-01;2020-01-06
padaria;06/01/2020;ELECTRONARIZONA PAE;9212;-11,7;11.7;0;01/01/2020;2020-01-01;2020-01-06
compras;06/01/2020;ELECTRONEMPORIO ROM;9212;-5;5;0;01/01/2020;2020-01-01;2020-01-06
feira;06/01/2020;ELECTRONFEIRANTE;9212;-11;11;0;01/01/2020;2020-01-01;2020-01-06
compras;06/01/2020;ELECTRONHEROES PLAY;9212;-7;7;0;01/01/2020;2020-01-01;2020-01-06
compras;06/01/2020;ELECTRONHEROES PLAY;9212;-22;22;0;01/01/2020;2020-01-01;2020-01-06
compras;06/01/2020;ELECTRONIRMAOS BAST;9212;-6,5;6.5;0;01/01/2020;2020-01-01;2020-01-06
feira;06/01/2020;ELECTRONJ E VERDURA;9212;-6;6;0;01/01/2020;2020-01-01;2020-01-06
alimentação;06/01/2020;ELECTRONMC DONALDS;9212;-34,7;34.7;0;01/01/2020;2020-01-01;2020-01-06
compras;06/01/2020;ELECTRONPAG*ChinaPe;9212;-18;18;0;01/01/2020;2020-01-01;2020-01-06
compras;06/01/2020;ELECTRONPAG*Geraldo;9212;-9;9;0;01/01/2020;2020-01-01;2020-01-06
compras;06/01/2020;ELECTRONPAG*HajimeT;9212;-20,9;20.9;0;01/01/2020;2020-01-01;2020-01-06
transporte;06/01/2020;ELECTRONPERTO METRO;9212;-50;50;0;01/01/2020;2020-01-01;2020-01-06
compras;06/01/2020;ELECTRONREINALDO DE;9212;-22;22;0;01/01/2020;2020-01-01;2020-01-06
compras;06/01/2020;ELECTRONSHOKITI;9212;-11,99;11.99;0;01/01/2020;2020-01-01;2020-01-06
mercado;06/01/2020;ELECTRONSONDA JACAN;9212;-31,87;31.87;0;01/01/2020;2020-01-01;2020-01-06
compras;06/01/2020;ELECTRONSTELO*MARIO;9212;-10;10;0;01/01/2020;2020-01-01;2020-01-06
compras;06/01/2020;ELECTRONUNIDOS DA V;9212;-15;15;0;01/01/2020;2020-01-01;2020-01-06
banco;06/01/2020;RES APLIC AUT MAIS;;307,66;0;307,66;01/01/2020;2020-01-01;2020-01-06
saldo;06/01/2020;SALDO APLIC AUT MAIS;;585,84;0;585,84;01/01/2020;2020-01-01;2020-01-06
alimentação;07/01/2020;ELECTRONADEGA DO AL;9212;-10;10;0;01/01/2020;2020-01-01;2020-01-07
padaria;07/01/2020;ELECTRONARIZONA PAE;9212;-18,38;18.38;0;01/01/2020;2020-01-01;2020-01-07
mercado;07/01/2020;ELECTRONSUPERMERCAD;9212;-282,07;282.07;0;01/01/2020;2020-01-01;2020-01-07
entrada;07/01/2020;TBI 0190.72508-5     C/C;4175;81,13;0;81,13;01/01/2020;2020-01-01;2020-01-07
banco;07/01/2020;RES APLIC AUT MAIS;;229,32;0;229,32;01/01/2020;2020-01-01;2020-01-07
saldo;07/01/2020;SALDO APLIC AUT MAIS;;356,52;0;356,52;01/01/2020;2020-01-01;2020-01-07
compras;08/01/2020;ELECTRONSHOKITI;9212;-18,57;18.57;0;01/01/2020;2020-01-01;2020-01-08
banco;08/01/2020;RES APLIC AUT MAIS;;18,57;0;18,57;01/01/2020;2020-01-01;2020-01-08
saldo;08/01/2020;SALDO APLIC AUT MAIS;;337,95;0;337,95;01/01/2020;2020-01-01;2020-01-08
compras;09/01/2020;ELECTRONAUTOPASS;9212;-30;30;0;01/01/2020;2020-01-01;2020-01-09
compras;09/01/2020;ELECTRONSHOKITI;9212;-14,88;14.88;0;01/01/2020;2020-01-01;2020-01-09
banco;09/01/2020;RES APLIC AUT MAIS;;44,88;0;44,88;01/01/2020;2020-01-01;2020-01-09
saldo;09/01/2020;SALDO APLIC AUT MAIS;;293,07;0;293,07;01/01/2020;2020-01-01;2020-01-09
padaria;10/01/2020;ELECTRONARIZONA PAE;9212;-53,19;53.19;0;01/01/2020;2020-01-01;2020-01-10
padaria;10/01/2020;ELECTRONBELLA ATALI;9212;-16,89;16.89;0;01/01/2020;2020-01-01;2020-01-10
compras;10/01/2020;ELECTRONSHOKITI;9212;-9,58;9.58;0;01/01/2020;2020-01-01;2020-01-10
banco;10/01/2020;SEGURO CARTAO;9293;-6,41;6.41;0;01/01/2020;2020-01-01;2020-01-10
saldo;10/01/2020;SALDO PARCIAL;;-76,07;0;0;01/01/2020;2020-01-01;2020-01-10
saldo;10/01/2020;SALDO ANTERIOR;;-76,07;0;0;01/01/2020;2020-01-01;2020-01-10
banco;10/01/2020;RES APLIC AUT MAIS;;86,07;0;86,07;01/01/2020;2020-01-01;2020-01-10
saldo;10/01/2020;SALDO APLIC AUT MAIS;;207;0;207;01/01/2020;2020-01-01;2020-01-10
michelle;13/01/2020;TBI 1491.48993-4     C/C;4175;-940;940;0;01/01/2020;2020-01-01;2020-01-13
compras;13/01/2020;ELECTRONAUTOPASS;9212;-20;20;0;01/01/2020;2020-01-01;2020-01-13
compras;13/01/2020;ELECTRONPAG*Eduardo;9212;-6;6;0;01/01/2020;2020-01-01;2020-01-13
compras;13/01/2020;ELECTRONSHOKITI;9212;-15,82;15.82;0;01/01/2020;2020-01-01;2020-01-13
compras;13/01/2020;ELECTRONSTELO S A *;9212;-25;25;0;01/01/2020;2020-01-01;2020-01-13
compras;13/01/2020;ELECTRONSUN MARINA;9212;-20,65;20.65;0;01/01/2020;2020-01-01;2020-01-13
banco;13/01/2020;RES APLIC AUT MAIS;;207;0;207;01/01/2020;2020-01-01;2020-01-13
alimentação;14/01/2020;ELECTRONGRAO ESPRES;9212;-4,5;4.5;0;01/01/2020;2020-01-01;2020-01-14
boleto;15/01/2020;INT PAG TIT 109000333418;4175;-834,39;834.39;0;01/01/2020;2020-01-01;2020-01-15
compras;15/01/2020;ELECTRONSHOKITI;9212;-16,26;16.26;0;01/01/2020;2020-01-01;2020-01-15
cartão credito;15/01/2020;INT ITAUCARD;4175;-4018,57;4018.57;0;01/01/2020;2020-01-01;2020-01-15
deposito;15/01/2020;TEC DEPOSITO DINHEIRO;3130;940;0;0;01/01/2020;2020-01-01;2020-01-15
salario;15/01/2020;TED 237.2846ANDRE N BARB;;4390;0;4390;01/01/2020;2020-01-01;2020-01-15
salario;15/01/2020;TED 237.2846ANDRE N BARB;;973,56;0;973,56;01/01/2020;2020-01-01;2020-01-15
saldo;15/01/2020;APL APLIC AUT MAIS;;-534,37;0;-534,37;01/01/2020;2020-01-01;2020-01-15
doação;15/01/2020;DEB AUTOR UNICEF;9293;-75;75;0;01/01/2020;2020-01-01;2020-01-15
saldo;15/01/2020;SALDO APLIC AUT MAIS;;534,37;0;534,37;01/01/2020;2020-01-01;2020-01-15
transporte;16/01/2020;ELECTRONPERTO;9212;-100;100;0;01/01/2020;2020-01-01;2020-01-16
compras;16/01/2020;ELECTRONSHOKITI;9212;-21,95;21.95;0;01/01/2020;2020-01-01;2020-01-16
banco;16/01/2020;RES APLIC AUT MAIS;;121,95;0;121,95;01/01/2020;2020-01-01;2020-01-16
saldo;16/01/2020;SALDO APLIC AUT MAIS;;412,42;0;412,42;01/01/2020;2020-01-01;2020-01-16
mercado;17/01/2020;ELECTRONMINIMERCADO;9212;-37,98;37.98;0;01/01/2020;2020-01-01;2020-01-17
compras;17/01/2020;ELECTRONP3 PAPELARI;9212;-22;22;0;01/01/2020;2020-01-01;2020-01-17
alimentação;17/01/2020;ELECTRONQUITANDA ME;9212;-6,9;6.9;0;01/01/2020;2020-01-01;2020-01-17
doação;17/01/2020;TED 260.0001ANDERSON A S;;15;0;15;01/01/2020;2020-01-01;2020-01-17
banco;17/01/2020;RES APLIC AUT MAIS;;51,88;0;51,88;01/01/2020;2020-01-01;2020-01-17
saldo;17/01/2020;SALDO APLIC AUT MAIS;;360,54;0;360,54;01/01/2020;2020-01-01;2020-01-17
compras;20/01/2020;ELECTRONSHOKITI;9212;-14,26;14.26;0;01/01/2020;2020-01-01;2020-01-20
banco;20/01/2020;RES APLIC AUT MAIS;;14,26;0;14,26;01/01/2020;2020-01-01;2020-01-20
saldo;20/01/2020;SALDO APLIC AUT MAIS;;346,28;0;346,28;01/01/2020;2020-01-01;2020-01-20
saldo;21/01/2020;SALDO APLIC AUT MAIS;;346,28;0;346,28;01/01/2020;2020-01-01;2020-01-21
compras;22/01/2020;ELECTRONSHOKITI;9212;-2,99;2.99;0;01/01/2020;2020-01-01;2020-01-22
academia;22/01/2020;ELECTRONSUA ACADEMI;9212;-9,9;9.9;0;01/01/2020;2020-01-01;2020-01-22
banco;22/01/2020;RES APLIC AUT MAIS;;12,89;0;12,89;01/01/2020;2020-01-01;2020-01-22
saldo;22/01/2020;SALDO APLIC AUT MAIS;;333,39;0;333,39;01/01/2020;2020-01-01;2020-01-22
saldo;23/01/2020;SALDO APLIC AUT MAIS;;333,39;0;333,39;01/01/2020;2020-01-01;2020-01-23
alimentação;24/01/2020;ELECTRONADEGA DO AL;9212;-10;10;0;01/01/2020;2020-01-01;2020-01-24
mercado;24/01/2020;ELECTRONASSAI ATACA;9212;-120,17;120.17;0;01/01/2020;2020-01-01;2020-01-24
banco;24/01/2020;RES APLIC AUT MAIS;;130,17;0;130,17;01/01/2020;2020-01-01;2020-01-24
saldo;24/01/2020;SALDO APLIC AUT MAIS;;203,22;0;203,22;01/01/2020;2020-01-01;2020-01-24
padaria;27/01/2020;ELECTRONARIZONA PAE;9212;-13,9;13.9;0;01/01/2020;2020-01-01;2020-01-27
restaurante;27/01/2020;ELECTRONCELEIRO DA;9212;-133,1;133.1;0;01/01/2020;2020-01-01;2020-01-27
compras;27/01/2020;ELECTRONEVANDRO G N;9212;-5;5;0;01/01/2020;2020-01-01;2020-01-27
compras;27/01/2020;ELECTRONI9PARK ESTA;9212;-41;41;0;01/01/2020;2020-01-01;2020-01-27
compras;27/01/2020;ELECTRONPAG*ADRIANA;9212;-7,5;7.5;0;01/01/2020;2020-01-01;2020-01-27
compras;27/01/2020;ELECTRONPAG*CleliaA;9212;-5;5;0;01/01/2020;2020-01-01;2020-01-27
compras;27/01/2020;ELECTRONPAG*MariaAp;9212;-20;20;0;01/01/2020;2020-01-01;2020-01-27
transporte;27/01/2020;ELECTRONPERTO;9212;-50;50;0;01/01/2020;2020-01-01;2020-01-27
farmacia;27/01/2020;ELECTRONPROMOFARMA;9212;-17,99;17.99;0;01/01/2020;2020-01-01;2020-01-27
farmacia;27/01/2020;ELECTRONRAIA 47;9212;-7,56;7.56;0;01/01/2020;2020-01-01;2020-01-27
farmacia;27/01/2020;ELECTRONRAIA 47;9212;-18,19;18.19;0;01/01/2020;2020-01-01;2020-01-27
saldo;27/01/2020;SALDO PARCIAL;;-309,24;0;0;01/01/2020;2020-01-01;2020-01-27
saldo;27/01/2020;SALDO ANTERIOR;;-309,24;0;0;01/01/2020;2020-01-01;2020-01-27
compras;27/01/2020;ELECTRONSESTINI;9212;-4,5;4.5;0;01/01/2020;2020-01-01;2020-01-27
mercado;27/01/2020;ELECTRONSONDA JACAN;9212;-52,99;52.99;0;01/01/2020;2020-01-01;2020-01-27
boleto;27/01/2020;INT TED 104354400005640;4175;-2800;2800;0;01/01/2020;2020-01-01;2020-01-27
banco;27/01/2020;RES APLIC AUT MAIS;;203,22;0;203,22;01/01/2020;2020-01-01;2020-01-27
compras;28/01/2020;ELECTRONSHOKITI;9212;-2,99;2.99;0;01/01/2020;2020-01-01;2020-01-28
compras;29/01/2020;ELECTRONPAG*RegisRe;9212;-5;5;0;01/01/2020;2020-01-01;2020-01-29
compras;30/01/2020;ELECTRONAUTOPASS;9212;-338;338;0;01/01/2020;2020-01-01;2020-01-30
compras;30/01/2020;ELECTRONFURACAO DA;9212;-29,5;29.5;0;01/01/2020;2020-01-01;2020-01-30
compras;30/01/2020;ELECTRONSTELO S A*R;9212;-20;20;0;01/01/2020;2020-01-01;2020-01-30
compras;30/01/2020;ELECTRONSTELO S A*R;9212;-10;10;0;01/01/2020;2020-01-01;2020-01-30
padaria;31/01/2020;ELECTRONBELLA ATALI;9212;-15,73;15.73;0;01/01/2020;2020-01-01;2020-01-31
compras;31/01/2020;ELECTRONMOBILE MANI;9212;-5;5;0;01/01/2020;2020-01-01;2020-01-31
compras;31/01/2020;ELECTRONSHOKITI;9212;-2,99;2.99;0;01/01/2020;2020-01-01;2020-01-31
resgate;31/01/2020;TBI 9293.22915-0/500;4175;2000;0;2000;01/01/2020;2020-01-01;2020-01-31
salario;31/01/2020;TED 237.2846ANDRE N BARB;;3065,34;0;3065,34;01/01/2020;2020-01-01;2020-01-31
saldo;31/01/2020;APL APLIC AUT MAIS;;-1662,62;0;-1662,62;01/01/2020;2020-01-01;2020-01-31
saldo;31/01/2020;SALDO APLIC AUT MAIS;;1662,62;0;1662,62;01/01/2020;2020-01-01;2020-01-31
saldo;31/01/2020;SALDO FINAL;;10;0;10;01/01/2020;2020-01-01;2020-01-31
saldo;03/02/2020;SALDO INICIAL;;10;0;10;01/02/2020;2020-02-01;2020-02-03
deposito;03/02/2020;TBI 0747.56106-6     C/C;4175;-20;20;0;01/02/2020;2020-02-01;2020-02-03
compras;03/02/2020;ELECTRONAVIGOS BEAU;9212;-4;4;0;01/02/2020;2020-02-01;2020-02-03
compras;03/02/2020;ELECTRONFERNANDA VA;9212;-35;35;0;01/02/2020;2020-02-01;2020-02-03
compras;03/02/2020;ELECTRONNZLOG;9212;-3;3;0;01/02/2020;2020-02-01;2020-02-03
compras;03/02/2020;ELECTRONPAG*SempreB;9212;-30;30;0;01/02/2020;2020-02-01;2020-02-03
farmacia;03/02/2020;ELECTRONPROMOFARMA;9212;-17,99;17.99;0;01/02/2020;2020-02-01;2020-02-03
compras;03/02/2020;ELECTRONSHOKITI;9212;-2,99;2.99;0;01/02/2020;2020-02-01;2020-02-03
mercado;03/02/2020;ELECTRONSONDA JACAN;9212;-50,35;50.35;0;01/02/2020;2020-02-01;2020-02-03
banco;03/02/2020;IOF;;-17,02;17.02;0;01/02/2020;2020-02-01;2020-02-03
banco;03/02/2020;RES APLIC AUT MAIS;;180,35;0;180,35;01/02/2020;2020-02-01;2020-02-03
saldo;03/02/2020;SALDO APLIC AUT MAIS;;1482,27;0;1482,27;01/02/2020;2020-02-01;2020-02-03
celular;04/02/2020;INT NEXTEL 9099999739334;4175;-90;90;0;01/02/2020;2020-02-01;2020-02-04
mercado;04/02/2020;ELECTRONASSAI ATACA;9212;-81,47;81.47;0;01/02/2020;2020-02-01;2020-02-04
alimentação;04/02/2020;ELECTRONDEPOSITO DO;9212;-74,58;74.58;0;01/02/2020;2020-02-01;2020-02-04
farmacia;04/02/2020;ELECTRONPROMOFARMA;9212;-58,61;58.61;0;01/02/2020;2020-02-01;2020-02-04
mercado;04/02/2020;ELECTRONSONDA TREME;9212;-31,37;31.37;0;01/02/2020;2020-02-01;2020-02-04
seminario;04/02/2020;INT TED  561369 SEMI;4175;-500;500;0;01/02/2020;2020-02-01;2020-02-04
banco;04/02/2020;RES APLIC AUT MAIS;;836,03;0;836,03;01/02/2020;2020-02-01;2020-02-04
saldo;04/02/2020;SALDO APLIC AUT MAIS;;646,24;0;646,24;01/02/2020;2020-02-01;2020-02-04
celular;05/02/2020;INT NEXTEL 9199999739334;4175;-60;60;0;01/02/2020;2020-02-01;2020-02-05
banco;05/02/2020;TAR PACOTE ITAU   JAN/20;9293;-76,9;76.9;0;01/02/2020;2020-02-01;2020-02-05
banco;05/02/2020;RES APLIC AUT MAIS;;136,9;0;136,9;01/02/2020;2020-02-01;2020-02-05
saldo;05/02/2020;SALDO APLIC AUT MAIS;;509,34;0;509,34;01/02/2020;2020-02-01;2020-02-05
alimentação;06/02/2020;ELECTRONADEGA DO AL;9212;-10;10;0;01/02/2020;2020-02-01;2020-02-06
compras;06/02/2020;ELECTRONMARCO ANTON;9212;-23;23;0;01/02/2020;2020-02-01;2020-02-06
compras;06/02/2020;ELECTRONMARIA LUCIA;9212;-8;8;0;01/02/2020;2020-02-01;2020-02-06
padaria;06/02/2020;ELECTRONPADARIA PAL;9212;-6;6;0;01/02/2020;2020-02-01;2020-02-06
compras;06/02/2020;ELECTRONPAG*Antonio;9212;-3;3;0;01/02/2020;2020-02-01;2020-02-06
compras;06/02/2020;ELECTRONPAG*Rosange;9212;-5;5;0;01/02/2020;2020-02-01;2020-02-06
banco;06/02/2020;RES APLIC AUT MAIS;;55;0;55;01/02/2020;2020-02-01;2020-02-06
saldo;06/02/2020;SALDO APLIC AUT MAIS;;454,34;0;454,34;01/02/2020;2020-02-01;2020-02-06
saldo;07/02/2020;SALDO APLIC AUT MAIS;;454,34;0;454,34;01/02/2020;2020-02-01;2020-02-07
boleto;10/02/2020;INT  PAG TIT BANCO 001;4175;-30,8;30.8;0;01/02/2020;2020-02-01;2020-02-10
padaria;10/02/2020;ELECTRONARIZONA PAE;9212;-3,26;3.26;0;01/02/2020;2020-02-01;2020-02-10
alimentação;10/02/2020;ELECTRONCHOCO MIX;9212;-2;2;0;01/02/2020;2020-02-01;2020-02-10
compras;10/02/2020;ELECTRONEVANDRO G N;9212;-5;5;0;01/02/2020;2020-02-01;2020-02-10
feira;10/02/2020;ELECTRONFEIRANTE;9212;-4;4;0;01/02/2020;2020-02-01;2020-02-10
compras;10/02/2020;ELECTRONLOBO DO REA;9212;-12,67;12.67;0;01/02/2020;2020-02-01;2020-02-10
compras;10/02/2020;ELECTRONPAG*CiceroF;9212;-5;5;0;01/02/2020;2020-02-01;2020-02-10
compras;10/02/2020;ELECTRONPAG*CleliaA;9212;-5;5;0;01/02/2020;2020-02-01;2020-02-10
compras;10/02/2020;ELECTRONPAG*DanielF;9212;-6;6;0;01/02/2020;2020-02-01;2020-02-10
compras;10/02/2020;ELECTRONPAG*Eduardo;9212;-4;4;0;01/02/2020;2020-02-01;2020-02-10
compras;10/02/2020;ELECTRONPAG*RafaelF;9212;-6;6;0;01/02/2020;2020-02-01;2020-02-10
compras;10/02/2020;ELECTRONPAG*Verdura;9212;-5;5;0;01/02/2020;2020-02-01;2020-02-10
farmacia;10/02/2020;ELECTRONRAIA 133;9212;-48,2;48.2;0;01/02/2020;2020-02-01;2020-02-10
alimentação;10/02/2020;ELECTRONRAVIOLITALI;9212;-28;28;0;01/02/2020;2020-02-01;2020-02-10
compras;10/02/2020;ELECTRONREINALDO DE;9212;-40;40;0;01/02/2020;2020-02-01;2020-02-10
mercado;10/02/2020;ELECTRONSONDA JACAN;9212;-173,52;173.52;0;01/02/2020;2020-02-01;2020-02-10
compras;10/02/2020;ELECTRONSTELO*MARIO;9212;-12;12;0;01/02/2020;2020-02-01;2020-02-10
banco;10/02/2020;SEGURO CARTAO;9293;-6,41;6.41;0;01/02/2020;2020-02-01;2020-02-10
banco;10/02/2020;RES APLIC AUT MAIS;;396,86;0;396,86;01/02/2020;2020-02-01;2020-02-10
saldo;10/02/2020;SALDO APLIC AUT MAIS;;57,48;0;57,48;01/02/2020;2020-02-01;2020-02-10
saque;11/02/2020;CXE     000554 SAQUE;762;-20;20;0;01/02/2020;2020-02-01;2020-02-11
saldo;11/02/2020;SALDO PARCIAL;;-10;0;0;01/02/2020;2020-02-01;2020-02-11
saldo;11/02/2020;SALDO ANTERIOR;;-10;0;0;01/02/2020;2020-02-01;2020-02-11
padaria;11/02/2020;ELECTRONBELLA ATALI;9212;-14,1;14.1;0;01/02/2020;2020-02-01;2020-02-11
compras;11/02/2020;ELECTRONSUELICATESS;9212;-9,9;9.9;0;01/02/2020;2020-02-01;2020-02-11
banco;11/02/2020;RES APLIC AUT MAIS;;57,48;0;57,48;01/02/2020;2020-02-01;2020-02-11
saque;12/02/2020;CXE     000331 SAQUE;1024;-20;20;0;01/02/2020;2020-02-01;2020-02-12
saque;12/02/2020;CXE     001966 SAQUE;3130;-50;50;0;01/02/2020;2020-02-01;2020-02-12
mercado;12/02/2020;ELECTRONVARANDA FRU;9212;-9,58;9.58;0;01/02/2020;2020-02-01;2020-02-12
compras;13/02/2020;ELECTRONANTONIO SER;9212;-320;320;0;01/02/2020;2020-02-01;2020-02-13
compras;13/02/2020;ELECTRONRYMA MINI M;9212;-18,72;18.72;0;01/02/2020;2020-02-01;2020-02-13
compras;13/02/2020;ELECTRONSHOKITI;9212;-13,98;13.98;0;01/02/2020;2020-02-01;2020-02-13
boleto;14/02/2020;INT  PAG TIT BANCO 237;4175;-414,21;414.21;0;01/02/2020;2020-02-01;2020-02-14
