"descrição";"data";"lançamento";"ag./origem";"valor (R$)";"valor_convertido_saida (R$)";"valor_convertido_entrada (R$)";"REF"
"saldo";"31/12/2020";"SALDO ANTERIOR";;-1233,47;0;0;01/01/2021
"padaria";"04/01/2021";"ELECTRONARIZONA PAE";"9212";-6,18;6,18;0;01/01/2021
"farmacia";"04/01/2021";"ELECTRONDROGARIA PR";"9212";-20,78;20,78;0;01/01/2021
"compras";"04/01/2021";"ELECTRONM A KOCH LA";"9212";-40;40;0;01/01/2021
"padaria";"04/01/2021";"ELECTRONPANIFICADOR";"9212";-7;7;0;01/01/2021
"alimentação";"04/01/2021";"ELECTRONRAGAZZO";"9212";-29,4;29,4;0;01/01/2021
"mercado";"04/01/2021";"ELECTRONTRIMAIS SUP";"9212";-22,62;22,62;0;01/01/2021
"mercado";"04/01/2021";"ELECTRONTRIMAIS SUP";"9212";-4,38;4,38;0;01/01/2021
"banco";"04/01/2021";"IOF";;-5,73;5,73;0;01/01/2021
"saldo";"04/01/2021";"SALDO DO DIA";;-1369,56;0;0;01/01/2021
"creche";"05/01/2021";"INT  PAG TIT BANCO 077";"4175";-422;422;0;01/01/2021
"juros";"05/01/2021";"LIS/JUROS     11 DIAS";;-26,09;26,09;0;01/01/2021
"banco";"05/01/2021";"TAR PACOTE ITAU   DEZ/20";"9293";-79,5;79,5;0;01/01/2021
"saldo";"05/01/2021";"SALDO DO DIA";;-1897,15;0;0;01/01/2021
"agua";"06/01/2021";"ELECTRONBD";"9212";-10;10;0;01/01/2021
"farmacia";"06/01/2021";"ELECTRONDROGARIA PR";"9212";-21,99;21,99;0;01/01/2021
"saldo";"06/01/2021";"SALDO DO DIA";;-1929,14;0;0;01/01/2021
"celular";"07/01/2021";"INT NEXTEL 9899999691047";"4175";-97,1;97,1;0;01/01/2021
"celular";"07/01/2021";"INT NEXTEL 9899999691090";"4175";-61,5;61,5;0;01/01/2021
"compras";"07/01/2021";"ELECTRONMARIA ELENA";"9212";-9,85;9,85;0;01/01/2021
"salario";"07/01/2021";"TED 237.2846ANDRE N BARB";;422,21;0;422,21;01/01/2021
"saldo";"07/01/2021";"SALDO DO DIA";;-1675,38;0;0;01/01/2021
"condominio";"11/01/2021";"INT PAG TIT 109038470523";"4175";-464,17;464,17;0;01/01/2021
"compras";"11/01/2021";"SAQUE 24H 18100537";"5086";-50;50;0;01/01/2021
"poupatempo rg";"11/01/2021";"INT SEFAZ-SP/DARE 210590";"4175";-43,64;43,64;0;01/01/2021
"agua";"11/01/2021";"ELECTRONBD";"9212";-10;10;0;01/01/2021
"compras";"11/01/2021";"ELECTRONDONAJU";"9212";-71;71;0;01/01/2021
"farmacia";"11/01/2021";"ELECTRONDROGARIA PR";"9212";-39,58;39,58;0;01/01/2021
"compras";"11/01/2021";"ELECTRONDU MORBAII";"9212";-10;10;0;01/01/2021
"compras";"11/01/2021";"ELECTRONEVANDRO G N";"9212";-21;21;0;01/01/2021
"compras";"11/01/2021";"ELECTRONFURACAO DA";"9212";-14,5;14,5;0;01/01/2021
"feira";"11/01/2021";"ELECTRONPAG*galasso";"9212";-8;8;0;01/01/2021
"feira";"11/01/2021";"ELECTRONPAG*Rosange";"9212";-6;6;0;01/01/2021
"feira";"11/01/2021";"ELECTRONPAG*SidneyD";"9212";-8;8;0;01/01/2021
"feira";"11/01/2021";"ELECTRONPAG*Verdura";"9212";-5;5;0;01/01/2021
"frango";"11/01/2021";"ELECTRONREINALDO DE";"9212";-50;50;0;01/01/2021
"compras";"11/01/2021";"ELECTRONSILVIO NAKA";"9212";-64,34;64,34;0;01/01/2021
"mercado";"11/01/2021";"ELECTRONSONDA JACAN";"9212";-81,46;81,46;0;01/01/2021
"mercado";"11/01/2021";"ELECTRONTRIMAIS SUP";"9212";-51,43;51,43;0;01/01/2021
"banco";"11/01/2021";"SEGURO CARTAO";"9293";-6,61;6,61;0;01/01/2021
"doação";"11/01/2021";"DEB AUTOR UNICEF";"9293";-75;75;0;01/01/2021
"saldo";"11/01/2021";"SALDO DO DIA";;-2755,11;0;0;01/01/2021
"farmacia";"13/01/2021";"ELECTRONDROGARIA MA";"9212";-5,75;5,75;0;01/01/2021
"mercado";"13/01/2021";"ELECTRONMINI MERCAD";"9212";-36,5;36,5;0;01/01/2021
"mercado";"13/01/2021";"ELECTRONPAG*Josisma";"9212";-2;2;0;01/01/2021
"mercado";"13/01/2021";"ELECTRONTRIMAIS SUP";"9212";-70,47;70,47;0;01/01/2021
"saldo";"13/01/2021";"SALDO DO DIA";;-2869,83;0;0;01/01/2021
"multa";"14/01/2021";"INT IPVA-SP HOH-6396";"4175";-971;971;0;01/01/2021
"multa";"14/01/2021";"INT MULTA SP 31997756838";"4175";-134,5;134,5;0;01/01/2021
"saldo";"14/01/2021";"SALDO DO DIA";;-3975,33;0;0;01/01/2021
"farmacia";"15/01/2021";"ELECTRONDROGARIA SA";"9212";-11,98;11,98;0;01/01/2021
"salario";"15/01/2021";"TED 237.2846ANDRE N BARB";;5392;0;5392;01/01/2021
"saldo";"15/01/2021";"SDO CTA/APL AUTOMATICAS";;1404,69;0;0;01/01/2021
"saque";"18/01/2021";"SAQUE 24H 11770278 17/01";"5086";-100;100;0;01/01/2021
"farmacia";"18/01/2021";"ELECTRONDROGARIA PR";"9212";-57,23;57,23;0;01/01/2021
"farmacia";"18/01/2021";"ELECTRONDROGARIA PR";"9212";-41,86;41,86;0;01/01/2021
"estacionamento";"18/01/2021";"ELECTRONESTAPAR SHO";"9212";-13;13;0;01/01/2021
"alimentação";"18/01/2021";"ELECTRONFENIX";"9212";-69;69;0;01/01/2021
"compras";"18/01/2021";"ELECTRONLOJAS AMERI";"9212";-12,97;12,97;0;01/01/2021
"compras";"18/01/2021";"ELECTRONLOUCADEMIA";"9212";-67;67;0;01/01/2021
"compras";"18/01/2021";"ELECTRONMARELLAS CA";"9212";-6;6;0;01/01/2021
"compras";"18/01/2021";"ELECTRONMARELLAS CA";"9212";-14;14;0;01/01/2021
"frango";"18/01/2021";"ELECTRONPAG*Frigott";"9212";-50;50;0;01/01/2021
"compras";"18/01/2021";"ELECTRONSHOPPING CE";"9212";-40,2;40,2;0;01/01/2021
"compras";"18/01/2021";"ELECTRONSONEDA PERF";"9212";-79,74;79,74;0;01/01/2021
"mercado";"18/01/2021";"ELECTRONTRIMAIS SUP";"9212";-81,21;81,21;0;01/01/2021
"mercado";"18/01/2021";"ELECTRONTRIMAIS SUP";"9212";-108,94;108,94;0;01/01/2021
"mercado";"18/01/2021";"ELECTRONTRIMAIS SUP";"9212";-17,43;17,43;0;01/01/2021
"mercado";"18/01/2021";"ELECTRONYINGXUE MA";"9212";-12;12;0;01/01/2021
"cartão de credito";"18/01/2021";"INT ITAUCARD";"4175";-7685,86;7685,86;0;01/01/2021
"resgate";"18/01/2021";"TBI 9293.22915-0/500";"4175";7000;0;7000;01/01/2021
"saldo";"18/01/2021";"SALDO DO DIA";;-51,75;0;0;01/01/2021
"mercado";"19/01/2021";"ELECTRONTRIMAIS SUP";"9212";-35,84;35,84;0;01/01/2021
"saldo";"19/01/2021";"SALDO DO DIA";;-87,59;0;0;01/01/2021
"mercado";"20/01/2021";"ELECTRONTRIMAIS SUP";"9212";-103,39;103,39;0;01/01/2021
"saldo";"20/01/2021";"SALDO DO DIA";;-190,98;0;0;01/01/2021
"agua";"22/01/2021";"ELECTRONBD";"9212";-10;10;0;01/01/2021
"compras";"22/01/2021";"ELECTRONPERFUMARIA";"9212";-31,7;31,7;0;01/01/2021
"mercado";"22/01/2021";"ELECTRONTRIMAIS SUP";"9212";-170,07;170,07;0;01/01/2021
"saldo";"22/01/2021";"SALDO DO DIA";;-402,75;0;0;01/01/2021
"saque";"26/01/2021";"SAQUE 24H 10758613 24/01";"5086";-100;100;0;01/01/2021
"compras";"26/01/2021";"ELECTRONA POSTO JD";"9212";-6,25;6,25;0;01/01/2021
"farmacia";"26/01/2021";"ELECTRONDROG SAO PA";"9212";-17,9;17,9;0;01/01/2021
"farmacia";"26/01/2021";"ELECTRONFARMACIAS P";"9212";-5,99;5,99;0;01/01/2021
