"custo";"valor_custo";"custo fixo";"custo variavel";"pendente";"data pagto";"semana";"data pagamento";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"cartão de credito";"3928.07";1;0;0;"01/01/2017";"1ª semana";"01/01/2017";"cartão credito";"2017-01-01";"2017-01-01"
"carrefour";"83.9";0;1;0;"01/01/2017";"1ª semana";"02/01/2017";"mercado";"2017-01-01";"2017-01-02"
"taxa conta corrente";"52.4";1;0;0;"01/01/2017";"1ª semana";"03/01/2017";"banco";"2017-01-01";"2017-01-03"
"int ipva sp hoh6396 1/3";"405.25";0;1;0;"01/01/2017";"1ª semana";"03/01/2017";"carro";"2017-01-01";"2017-01-03"
"suco varanda";"5.9";0;1;0;"01/01/2017";"1ª semana";"03/01/2017";"alimentação";"2017-01-01";"2017-01-03"
"alimand";"6.9";0;1;0;"01/01/2017";"1ª semana";"03/01/2017";"alimentação";"2017-01-01";"2017-01-03"
"dogstation";4;0;1;0;"01/01/2017";"1ª semana";"03/01/2017";"alimentação";"2017-01-01";"2017-01-03"
"quero mais";4;0;1;0;"01/01/2017";"1ª semana";"03/01/2017";"alimentação";"2017-01-01";"2017-01-03"
"sptransp";60;0;1;0;"01/01/2017";"1ª semana";"03/01/2017";"transporte";"2017-01-01";"2017-01-03"
"net";"380.58";1;0;0;"01/01/2017";"1ª semana";"04/01/2017";"moradia";"2017-01-01";"2017-01-04"
"caterine de";6;0;1;0;"01/01/2017";"1ª semana";"04/01/2017";"alimentação";"2017-01-01";"2017-01-04"
"nakata";"3.5";0;1;0;"01/01/2017";"1ª semana";"04/01/2017";"alimentação";"2017-01-01";"2017-01-04"
"luz";"73.91";1;0;0;"01/01/2017";"1ª semana";"06/01/2017";"moradia";"2017-01-01";"2017-01-06"
"estacionamento";200;1;0;0;"01/01/2017";"1ª semana";"08/01/2017";"carro";"2017-01-01";"2017-01-08"
"feira";50;0;1;0;"01/01/2017";"1ª semana";"08/01/2017";"feira";"2017-01-01";"2017-01-08"
"custo total aluguel";"1437.5";1;0;0;"01/01/2017";"2ª semana";"09/01/2017";"moradia";"2017-01-01";"2017-01-09"
"michelle";50;0;1;0;"01/01/2017";"2ª semana";"09/01/2017";"michelle";"2017-01-01";"2017-01-09"
"buro";"2.99";0;1;0;"01/01/2017";"2ª semana";"09/01/2017";"alimentação";"2017-01-01";"2017-01-09"
"SEGURO RESIDENCIA";"45.2";1;0;0;"01/01/2017";"2ª semana";"10/01/2017";"banco";"2017-01-01";"2017-01-10"
"contador";145;1;0;0;"01/01/2017";"2ª semana";"10/01/2017";"contador";"2017-01-01";"2017-01-10"
"sptransp";300;1;0;0;"01/01/2017";"2ª semana";"10/01/2017";"transporte";"2017-01-01";"2017-01-10"
"SEGURO CARTÃO";"5.79";1;0;0;"01/01/2017";"2ª semana";"10/01/2017";"banco";"2017-01-01";"2017-01-10"
"lanche";11;0;1;0;"01/01/2017";"2ª semana";"10/01/2017";"alimentação";"2017-01-01";"2017-01-10"
"suco varanda";4;0;1;0;"01/01/2017";"2ª semana";"10/01/2017";"alimentação";"2017-01-01";"2017-01-10"
"agua";3;0;1;0;"01/01/2017";"2ª semana";"10/01/2017";"alimentação";"2017-01-01";"2017-01-10"
"hot dog / acaraje";16;0;1;0;"01/01/2017";"2ª semana";"11/01/2017";"alimentação";"2017-01-01";"2017-01-11"
"lanche";"7.4";0;1;0;"01/01/2017";"2ª semana";"12/01/2017";"alimentação";"2017-01-01";"2017-01-12"
"agua";3;0;1;0;"01/01/2017";"2ª semana";"13/01/2017";"alimentação";"2017-01-01";"2017-01-13"
"livro";"44.9";0;1;0;"01/01/2017";"2ª semana";"13/01/2017";"compras";"2017-01-01";"2017-01-13"
"instalação de rede na janela";300;0;1;0;"01/01/2017";"2ª semana";"14/01/2017";"moradia";"2017-01-01";"2017-01-14"
"cabelereiro";50;0;1;0;"01/01/2017";"2ª semana";"15/01/2017";"compras";"2017-01-01";"2017-01-15"
"pedagio";20;0;1;0;"01/01/2017";"2ª semana";"15/01/2017";"carro";"2017-01-01";"2017-01-15"
"consorcio";"636.17";1;0;0;"01/01/2017";"3ª semana";"16/01/2017";"investimento";"2017-01-01";"2017-01-16"
"UNICEF";50;1;0;0;"01/01/2017";"3ª semana";"16/01/2017";"doação";"2017-01-01";"2017-01-16"
"feira";106;0;1;0;"01/01/2017";"2ª semana";"16/01/2017";"feira";"2017-01-01";"2017-01-16"
"mc donald";25;0;1;0;"01/01/2017";"3ª semana";"16/01/2017";"alimentação";"2017-01-01";"2017-01-16"
"agua";"2.99";0;1;0;"01/01/2017";"3ª semana";"17/01/2017";"alimentação";"2017-01-01";"2017-01-17"
"lanche hospital";10;0;1;0;"01/01/2017";"3ª semana";"17/01/2017";"alimentação";"2017-01-01";"2017-01-17"
"benção";20;0;1;0;"01/01/2017";"3ª semana";"18/01/2017";"igreja";"2017-01-01";"2017-01-18"
"bolacha metro";5;0;1;0;"01/01/2017";"3ª semana";"18/01/2017";"alimentação";"2017-01-01";"2017-01-18"
"padaria";5;0;1;0;"01/01/2017";"3ª semana";"18/01/2017";"alimentação";"2017-01-01";"2017-01-18"
"suco varanda";"3.5";0;1;0;"01/01/2017";"3ª semana";"19/01/2017";"alimentação";"2017-01-01";"2017-01-19"
"benção";10;0;1;0;"01/01/2017";"3ª semana";"19/01/2017";"igreja";"2017-01-01";"2017-01-19"
"benção";100;0;1;0;"01/01/2017";"3ª semana";"19/01/2017";"igreja";"2017-01-01";"2017-01-19"
"bolacha/agua";"7.79";0;1;0;"01/01/2017";"3ª semana";"19/01/2017";"alimentação";"2017-01-01";"2017-01-19"
"suco dexo";4;0;1;0;"01/01/2017";"3ª semana";"19/01/2017";"alimentação";"2017-01-01";"2017-01-19"
"sorvete";9;0;1;0;"01/01/2017";"3ª semana";"19/01/2017";"alimentação";"2017-01-01";"2017-01-19"
"cabelereiro";30;0;1;0;"01/01/2017";"3ª semana";"20/01/2017";"compras";"2017-01-01";"2017-01-20"
"feira";70;0;1;0;"01/01/2017";"3ª semana";"21/01/2017";"feira";"2017-01-01";"2017-01-21"
"benção";10;0;1;0;"01/01/2017";"3ª semana";"21/01/2017";"igreja";"2017-01-01";"2017-01-21"
"benção";20;0;1;0;"01/01/2017";"3ª semana";"22/01/2017";"igreja";"2017-01-01";"2017-01-22"
"comgas";"32.19";1;0;0;"01/01/2017";"4ª semana";"23/01/2017";"moradia";"2017-01-01";"2017-01-23"
"benção";50;0;1;0;"01/01/2017";"4ª semana";"24/01/2017";"igreja";"2017-01-01";"2017-01-24"
