"custo";"valor_custo";"flag_fixo";"flag_variavel";"flag_pendente";"data_base";"semana";"data_custo";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"yakult";120;0;1;0;"01/02/2018";"4ª semana";"20/02/2018";"alimentação";"2018-02-01";"2018-02-20"
"wendys hamb";"9.9";0;1;0;"01/12/2018";"1ª semana";"12/12/2018";"alimentação";"2018-12-01";"2018-12-12"
"via baby";20;0;1;0;"01/10/2018";"1ª semana";"15/10/2018";"compras";"2018-10-01";"2018-10-15"
"verona doces";4;0;1;0;"01/02/2018";"3ª semana";"15/02/2018";"alimentação";"2018-02-01";"2018-02-15"
"varanda";"7.7";0;1;0;"01/02/2018";"3ª semana";"15/02/2018";"alimentação";"2018-02-01";"2018-02-15"
"varanda";"5.65";0;1;0;"01/03/2018";"2ª semana";"08/03/2018";"alimentação";"2018-03-01";"2018-03-08"
"varanda";"17.17";0;1;0;"01/08/2018";"3ª semana";"29/08/2018";"alimentação";"2018-08-01";"2018-08-29"
"varanda";12;0;1;0;"01/11/2018";"1ª semana";"08/11/2018";"alimentação";"2018-11-01";"2018-11-08"
"utensilios";"8.9";0;1;0;"01/09/2018";"3ª semana";"20/09/2018";"compras";"2018-09-01";"2018-09-20"
"utensilios";"5.5";0;1;0;"01/09/2018";"3ª semana";"21/09/2018";"compras";"2018-09-01";"2018-09-21"
"unidos";30;0;1;0;"01/12/2018";"1ª semana";"07/12/2018";"alimentação";"2018-12-01";"2018-12-07"
"UNICEF";50;1;0;0;"01/01/2018";"1ª semana";"01/01/2018";"doação";"2018-01-01";"2018-01-01"
"UNICEF";50;1;0;0;"01/02/2018";"2ª semana";"15/02/2018";"doação";"2018-02-01";"2018-02-15"
"UNICEF";50;1;0;0;"01/03/2018";"1ª semana";"15/03/2018";"doação";"2018-03-01";"2018-03-15"
"UNICEF";50;1;0;0;"01/04/2018";"1ª semana";"16/04/2018";"doação";"2018-04-01";"2018-04-16"
"UNICEF";50;1;0;0;"01/05/2018";"1ª semana";"15/05/2018";"doação";"2018-05-01";"2018-05-15"
"UNICEF";50;1;0;0;"01/06/2018";"1ª semana";"15/06/2018";"doação";"2018-06-01";"2018-06-15"
"UNICEF";55;1;0;0;"01/07/2018";"3ª semana";"16/07/2018";"doação";"2018-07-01";"2018-07-16"
"UNICEF";55;1;0;0;"01/08/2018";"1ª semana";"15/08/2018";"doação";"2018-08-01";"2018-08-15"
"UNICEF";55;1;0;0;"01/09/2018";"1ª semana";"17/09/2018";"doação";"2018-09-01";"2018-09-17"
"UNICEF";55;1;0;0;"01/10/2018";"1ª semana";"15/10/2018";"doação";"2018-10-01";"2018-10-15"
