"custo";"valor_custo";"flag_fixo";"flag_variavel";"flag_pendente";"flag_investimento";"data_base";"data_custo";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"taxa conta corrente";"74.65";1;0;0;0;"01/01/2019";"03/01/2019";"banco";"2019-01-01";"2019-01-03"
"net";"310.22";1;0;0;0;"01/01/2019";"18/01/2019";"moradia";"2019-01-01";"2019-01-18"
"alugel casa";"1468.59";1;0;0;0;"01/01/2019";"11/01/2019";"moradia";"2019-01-01";"2019-01-11"
"SEGURO CARTÃO";"6.18";1;0;0;0;"01/01/2019";"10/01/2019";"banco";"2019-01-01";"2019-01-10"
"UNICEF";75;1;0;0;0;"01/01/2019";"15/01/2019";"doação";"2019-01-01";"2019-01-15"
"dizimo";1035;1;0;0;0;"01/01/2019";"01/01/2019";"igreja";"2019-01-01";"2019-01-01"
"sptransp";100;1;0;0;0;"01/01/2019";"02/01/2019";"transporte";"2019-01-01";"2019-01-02"
"mercado agua";6;1;0;0;0;"01/01/2019";"02/01/2019";"alimentação";"2019-01-01";"2019-01-02"
"almoço";"34.9";1;0;0;0;"01/01/2019";"02/01/2019";"alimentação";"2019-01-01";"2019-01-02"
"agua";"2.45";1;0;0;0;"01/01/2019";"02/01/2019";"alimentação";"2019-01-01";"2019-01-02"
"seminario mensalidade";"240.59";1;0;0;0;"01/01/2019";"18/01/2019";"seminario";"2019-01-01";"2019-01-18"
"luz dez/18";"130.99";1;0;0;0;"01/01/2019";"18/01/2019";"moradia";"2019-01-01";"2019-01-18"
"andorinha";"228.12";0;1;0;0;"01/01/2019";"03/01/2019";"mercado";"2019-01-01";"2019-01-03"
"loja japones chupeta";"24.5";0;1;0;0;"01/01/2019";"04/01/2019";"compras";"2019-01-01";"2019-01-04"
"café";"8.5";0;1;0;0;"01/01/2019";"05/01/2019";"alimentação";"2019-01-01";"2019-01-05"
"padaria algarve";"4.21";0;1;0;0;"01/01/2019";"05/01/2019";"padaria";"2019-01-01";"2019-01-05"
"feira";55;0;1;0;0;"01/01/2019";"05/01/2019";"feira";"2019-01-01";"2019-01-05"
"michelle";45;0;1;0;0;"01/01/2019";"06/01/2019";"compras";"2019-01-01";"2019-01-06"
"benção";20;0;1;0;0;"01/01/2019";"06/01/2019";"igreja";"2019-01-01";"2019-01-06"
"almoço";"39.9";0;1;0;0;"01/01/2019";"06/01/2019";"alimentação";"2019-01-01";"2019-01-06"
"padaria arizona";"39.79";0;1;0;0;"01/01/2019";"06/01/2019";"padaria";"2019-01-01";"2019-01-06"
"agua";"2.99";0;1;0;0;"01/01/2019";"07/01/2019";"alimentação";"2019-01-01";"2019-01-07"
"almoço";"39.8";0;1;0;0;"01/01/2019";"05/01/2019";"alimentação";"2019-01-01";"2019-01-05"
"lis/juros";"852.04";0;1;0;0;"01/01/2019";"07/01/2019";"banco";"2019-01-01";"2019-01-07"
"academia";68;0;1;0;0;"01/01/2019";"08/01/2019";"compras";"2019-01-01";"2019-01-08"
"bergamais";"143.2";0;1;0;0;"01/01/2019";"09/01/2019";"mercado";"2019-01-01";"2019-01-09"
"almoço";"7.1";0;1;0;0;"01/01/2019";"09/01/2019";"alimentação";"2019-01-01";"2019-01-09"
"tolezano";"20.89";0;1;0;0;"01/01/2019";"10/01/2019";"mercado";"2019-01-01";"2019-01-10"
"tolezano";"23.4";0;1;0;0;"01/01/2019";"10/01/2019";"mercado";"2019-01-01";"2019-01-10"
"café da manha";"23.7";0;1;0;0;"01/01/2019";"11/01/2019";"alimentação";"2019-01-01";"2019-01-11"
"almoço mc donalds";"25.9";0;1;0;0;"01/01/2019";"11/01/2019";"alimentação";"2019-01-01";"2019-01-11"
"sptransp";30;0;1;0;0;"01/01/2019";"11/01/2019";"transporte";"2019-01-01";"2019-01-11"
"feira";100;0;1;0;0;"01/01/2019";"12/01/2019";"feira";"2019-01-01";"2019-01-12"
