"tipo_custo";"data_custo";"custo";"info_banco";"valor";"valor_custo";"valor_entrada";"ref_base";"dt_pagto_bq";"dt_custo_bq"
"saldo";"31/12/2020";"SALDO ANTERIOR";;-1233,47;0;0;01/01/2021;"2021-01-01";"2020-12-31"
"padaria";"04/01/2021";"ELECTRONARIZONA PAE";9212;-6,18;6,18;0;01/01/2021;"2021-01-01";"2021-01-04"
"farmacia";"04/01/2021";"ELECTRONDROGARIA PR";9212;-20,78;20,78;0;01/01/2021;"2021-01-01";"2021-01-04"
"compras";"04/01/2021";"ELECTRONM A KOCH LA";9212;-40;40;0;01/01/2021;"2021-01-01";"2021-01-04"
"padaria";"04/01/2021";"ELECTRONPANIFICADOR";9212;-7;7;0;01/01/2021;"2021-01-01";"2021-01-04"
"alimentação";"04/01/2021";"ELECTRONRAGAZZO";9212;-29,4;29,4;0;01/01/2021;"2021-01-01";"2021-01-04"
"mercado";"04/01/2021";"ELECTRONTRIMAIS SUP";9212;-22,62;22,62;0;01/01/2021;"2021-01-01";"2021-01-04"
"mercado";"04/01/2021";"ELECTRONTRIMAIS SUP";9212;-4,38;4,38;0;01/01/2021;"2021-01-01";"2021-01-04"
"banco";"04/01/2021";"IOF";;-5,73;5,73;0;01/01/2021;"2021-01-01";"2021-01-04"
"saldo";"04/01/2021";"SALDO DO DIA";;-1369,56;0;0;01/01/2021;"2021-01-01";"2021-01-04"
"creche";"05/01/2021";"INT  PAG TIT BANCO 077";4175;-422;422;0;01/01/2021;"2021-01-01";"2021-01-05"
"banco";"05/01/2021";"LIS/JUROS     11 DIAS";;-26,09;26,09;0;01/01/2021;"2021-01-01";"2021-01-05"
"banco";"05/01/2021";"TAR PACOTE ITAU   DEZ/20";9293;-79,5;79,5;0;01/01/2021;"2021-01-01";"2021-01-05"
"saldo";"05/01/2021";"SALDO DO DIA";;-1897,15;0;0;01/01/2021;"2021-01-01";"2021-01-05"
"alimentação";"06/01/2021";"ELECTRONBD";9212;-10;10;0;01/01/2021;"2021-01-01";"2021-01-06"
"farmacia";"06/01/2021";"ELECTRONDROGARIA PR";9212;-21,99;21,99;0;01/01/2021;"2021-01-01";"2021-01-06"
"saldo";"06/01/2021";"SALDO DO DIA";;-1929,14;0;0;01/01/2021;"2021-01-01";"2021-01-06"
"celular";"07/01/2021";"INT NEXTEL 9899999691047";4175;-97,1;97,1;0;01/01/2021;"2021-01-01";"2021-01-07"
