"de_para";"valor";
"SALDO INICIAL";"saldo";
"DOC INT 098997";"transferencia";
"ELECTRONPERTO METRO";"transporte";
"ELECTRONRETRO EXPLO";"compras";
"IOF";"banco";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONBELLA ATALI";"padaria";
"ELECTRONDROGASIL 17";"farmacia";
"ELECTRONDROGASIL 17";"farmacia";
"ELECTRONMILK SHAKE";"alimentação";
"ELECTRONPAG*WpaperM";"compras";
"ELECTRONTTOMATOES";"alimentação";
"ELECTRONVILACHIC";"compras";
"TAR PACOTE ITAU   DEZ/19";"banco";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"DOC INT 381229";"transferencia";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONEMPORIO ROM";"compras";
"ELECTRONFEIRANTE";"feira";
"ELECTRONHEROES PLAY";"compras";
"ELECTRONHEROES PLAY";"compras";
"ELECTRONIRMAOS BAST";"compras";
"ELECTRONJ E VERDURA";"feira";
"ELECTRONMC DONALDS";"alimentação";
"ELECTRONPAG*ChinaPe";"compras";
"ELECTRONPAG*Geraldo";"compras";
"ELECTRONPAG*HajimeT";"compras";
"ELECTRONPERTO METRO";"transporte";
"ELECTRONREINALDO DE";"compras";
"ELECTRONSHOKITI";"compras";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSTELO*MARIO";"compras";
"ELECTRONUNIDOS DA V";"compras";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONADEGA DO AL";"alimentação";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONSUPERMERCAD";"mercado";
"TBI 0190.72508-5     C/C";"entrada";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONSHOKITI";"compras";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONAUTOPASS";"compras";
"ELECTRONSHOKITI";"compras";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONBELLA ATALI";"padaria";
"ELECTRONSHOKITI";"compras";
"SEGURO CARTAO";"banco";
"SALDO PARCIAL";"saldo";
"SALDO ANTERIOR";"saldo";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"TBI 1491.48993-4     C/C";"michelle";
"ELECTRONAUTOPASS";"compras";
"ELECTRONPAG*Eduardo";"compras";
"ELECTRONSHOKITI";"compras";
"ELECTRONSTELO S A *";"compras";
"ELECTRONSUN MARINA";"compras";
"RES APLIC AUT MAIS";"banco";
"ELECTRONGRAO ESPRES";"alimentação";
"INT PAG TIT 109000333418";"boleto";
"ELECTRONSHOKITI";"compras";
"INT ITAUCARD";"cartão credito";
"TEC DEPOSITO DINHEIRO";"deposito";
"TED 237.2846ANDRE N BARB";"salario";
"TED 237.2846ANDRE N BARB";"salario";
"APL APLIC AUT MAIS";"saldo";
"DEB AUTOR UNICEF";"doação";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONPERTO";"transporte";
"ELECTRONSHOKITI";"compras";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONMINIMERCADO";"mercado";
"ELECTRONP3 PAPELARI";"compras";
"ELECTRONQUITANDA ME";"alimentação";
"TED 260.0001ANDERSON A S";"doação";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONSHOKITI";"compras";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONSHOKITI";"compras";
"ELECTRONSUA ACADEMI";"academia";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONADEGA DO AL";"alimentação";
"ELECTRONASSAI ATACA";"mercado";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONCELEIRO DA";"restaurante";
"ELECTRONEVANDRO G N";"compras";
"ELECTRONI9PARK ESTA";"compras";
"ELECTRONPAG*ADRIANA";"compras";
"ELECTRONPAG*CleliaA";"compras";
