dt_extrato_bq,descricao,valor_ext
01/07/2021,ELECTRONKAMIA,"-3,00"
01/07/2021,ELECTRONPAG*Marcelo,"-5,00"
01/07/2021,ELECTRONPAG*NelsonD,"-16,00"
01/07/2021,PIX TRANSF  MARIO A01/07,"-140,00"
02/07/2021,IOF,"-11,27"
02/07/2021,TBI 9293.22915-0/500,"-14000,00"
02/07/2021,PIX TRANSF  ANDRE N02/07,"14600,00"
02/07/2021,TAR PACOTE ITAU   JUN/21,"-82,90"
05/07/2021,ELECTRONA PREFERIDA,"-4,49"
05/07/2021,ELECTRONARIZONA PAE,"-32,25"
05/07/2021,ELECTRONBD,"-11,00"
05/07/2021,ELECTRONCHINEN BOX,"-12,47"
05/07/2021,ELECTRONCLAUDIO FEI,"-9,00"
05/07/2021,ELECTRONDIEGO GABRI,"-40,00"
05/07/2021,ELECTRONDROGARIA PR,"-18,99"
05/07/2021,ELECTRONFARMACIAS P,"-6,99"
05/07/2021,ELECTRONJULIO   VIV,"-5,00"
05/07/2021,ELECTRONLEGUMES& VE,"-5,00"
05/07/2021,ELECTRONMANOEL FERR,"-3,00"
05/07/2021,ELECTRONNOVA BRUXEL,"-72,00"
05/07/2021,ELECTRONPAG*EmilySa,"-6,00"
05/07/2021,ELECTRONPAG*Patrici,"-40,00"
05/07/2021,ELECTRONPAG*Yasuich,"-14,00"
05/07/2021,ELECTRONRGR MODAS,"-60,00"
05/07/2021,ELECTRONSILVIO NAKA,"-107,97"
05/07/2021,ELECTRONTOP EMBALAG,"-4,80"
05/07/2021,ELECTRONTRIMAIS II,"-153,35"
05/07/2021,ELECTRONTRIMAIS II,"-225,16"
05/07/2021,DA  NEXTEL TELECOM 72411,"-85,00"
06/07/2021,INT PAG TIT 109006203499,"-471,05"
06/07/2021,ELECTRONMEGA SHOW T,"-52,00"
06/07/2021,ELECTRONPROMOFARMA,"-35,89"
06/07/2021,ELECTRONTRIMAIS II,"-118,31"
07/07/2021,ELECTRONANNE COMERC,"-27,00"
07/07/2021,ELECTRONESTACAO LIN,"-4,90"
07/07/2021,ELECTRONINGRALEX KI,"-41,00"
07/07/2021,ELECTRONJAQUELINE A,"-50,00"
07/07/2021,ELECTRONLUCILENE SO,"-6,00"
07/07/2021,ELECTRONPAG*bancado,"-42,00"
07/07/2021,ELECTRONPAG*AlexPer,"-40,00"
07/07/2021,ELECTRONPAG*Katani,"-47,00"
07/07/2021,ELECTRONPAG*Renaldo,"-15,00"
07/07/2021,ELECTRONPAG*YanyiQi,"-44,00"
07/07/2021,ELECTRONYOYOMINI PR,"-14,97"
07/07/2021,ELECTRONYOYOMINI PR,"-5,99"
08/07/2021,INT PAG TIT 109075349218,"-546,08"
08/07/2021,ELECTRONCASA BALDUC,"-13,90"
