"valor_recebido";"dt_mes_base";"descricao";"dt_recebido"
7700;01/01/2016;"salario";10/01/2016
7700;01/02/2016;"salario";10/02/2016
7700;01/03/2016;"salario";10/03/2016
10567,16;01/04/2016;"salario cadmus";10/04/2016
2918,3;01/04/2016;"salario b2w";31/03/2016
404,32;01/01/2016;"receita 2015";08/01/2016
3000;01/01/2016;"receita 2015";22/01/2016
4;01/02/2016;"credito";10/02/2016
300;01/03/2016;"michelle";10/03/2016
300;01/03/2016;"michelle";21/03/2016
180;01/03/2016;"michelle";05/04/2016
7959;01/05/2016;"salario";30/04/2016
7959;01/06/2016;"salario";31/05/2016
35;01/05/2016;"hein";18/05/2016
100;01/05/2016;"michelle";27/05/2016
133;01/05/2016;"pag cartao";29/05/2016
120;01/06/2016;"ajuda jocum";04/06/2016
7959;01/07/2016;"salario";30/06/2016
7959;01/08/2016;"salario";30/07/2016
7959;01/09/2016;"salario";31/08/2016
8517;01/10/2016;"salario";30/09/2016
8517;01/11/2016;"salario";30/10/2016
8517;01/12/2016;"salario";30/11/2016
8517;01/12/2016;"salario";20/12/2016
1500;01/10/2016;"michelle";30/09/2016
756,9;01/11/2016;"vale refeicao";16/11/2016
3193,88;01/12/2016;13;20/12/2016
1500;01/10/2016;"michelle";09/10/2016
500;01/11/2016;"salario";31/10/2016
100;01/11/2016;"edvaldo";31/10/2016
30;01/11/2016;"dev contrib";31/10/2016
567,8;01/11/2016;"grat dia comercio";31/10/2016
6387,75;01/12/2016;13;30/11/2016
