"valor_bruto";"valor_desconto";"valor_adiatamento";"valor_desc_adiat";"valor_decimoterceiro";"valor_abono";"valor_s_desconto";"valor_recebido";"dt_mes_base";"dt_recebido";"descricao"
9053;1999,83;3407;5406,83;0;0;3646,17;7053,17;"01/01/2017";"01/01/2017";"salario"
9053;1971,89;3407;5378,89;0;0;3674,11;7081,11;"01/02/2017";"01/02/2017";"salario"
9053;2468,29;3407;5875,29;0;0;3177,71;6584,71;"01/03/2017";"01/03/2017";"salario"
3017,67;1019,26;12070,67;13089,93;0;0;2918,73;10081,81;"01/04/2017";"01/04/2017";"salario"
9053;3047,22;3407;6454,22;0;0;2598,78;6005,78;"01/05/2017";"01/05/2017";"salario"
9053;2431,25;3407;5838,25;0;0;3214,75;6621,75;"01/06/2017";"01/06/2017";"salario"
9053;2221,2;3407;5628,2;0;0;3424,8;6831,8;"01/07/2017";"01/07/2017";"salario"
9053;2119,49;3407;5526,49;0;0;3526,51;6933,51;"01/08/2017";"01/08/2017";"salario"
9053;2156,45;3407;5563,45;0;0;3489,55;6896,55;"01/09/2017";"01/09/2017";"salario"
9053;2363,28;3407;5770,28;0;0;3282,72;6689,72;"01/10/2017";"01/10/2017";"salario"
9053;2408,98;3407;5815,98;0;0;3237,02;6644,02;"01/11/2017";"01/11/2017";"salario"
9053;2408,98;3407;5815,98;0;0;3237,02;6644,02;"01/12/2017";"01/12/2017";"salario"
