"dt_mes_base";"dt_recebido";"descricao";"valor_previsto";"valor_recebido"
01/01/2020;31/12/2019;"saldo";1271,88;1271,88
01/01/2020;"07/01/2020";"deposito sitio";81,13;81,13
01/01/2020;15/01/2020;"Salario_1";4390;4390
01/01/2020;15/01/2020;"deposito sitio";973,56;973,56
01/01/2020;15/01/2020;"michelle";940;940
01/01/2020;15/01/2020;"rifa";15;15
01/01/2020;30/01/2020;"poupança";2000;2000
01/01/2020;31/01/2020;"Salario_2";3065,34;3065,34
01/02/2020;15/02/2020;"Salario_1";4390;4390
01/02/2020;28/02/2020;"michelle";170;170
01/02/2020;28/02/2020;"Salario_2";2618,65;2618,65
01/03/2020;15/03/2020;"Salario_1";4390;4390
01/03/2020;15/03/2020;"poupança";2000;2000
01/03/2020;30/03/2020;"Salario_2";3285,26;3285,26
01/04/2020;15/03/2020;"poupança";700;700
01/04/2020;15/04/2020;"Salario_1";4390;4390
01/04/2020;30/04/2020;"Salario_2+fer";10976,56;10976,56
01/05/2020;15/05/2020;"Salario_1";4390;4390
01/05/2020;30/05/2020;"Salario_2";0;0
01/06/2020;15/06/2020;"poupança";5000;5000
01/06/2020;15/06/2020;"Salario_1";4799,86;4799,86
01/06/2020;30/06/2020;"Salario_2+dec terc";7248,2;7248,2
01/05/2020;06/07/2020;"DIF_1";0,05;0,05
01/07/2020;31/07/2020;"restituicao";2743,86;2743,86
01/07/2020;15/07/2020;"Salario_1";4390;4390
01/07/2020;15/07/2020;"devolução";50;50
01/07/2020;31/07/2020;"Salario_2+horaext";4280,95;4280,95
01/08/2020;15/08/2020;"Salario_1";4390;4390
01/08/2020;23/08/2020;"poupança";1000;1000
01/08/2020;30/08/2020;"Salario_2";3120,07;3120,07
01/09/2020;15/09/2020;"Salario_1";4390;4390
01/09/2020;30/09/2020;"Salario_2";3174,77;3174,77
01/10/2020;13/10/2020;"Reembolso";125;125
01/10/2020;14/10/2020;"devolução";130;130
01/10/2020;15/10/2020;"Salario_1";4390;4390
01/10/2020;23/10/2020;"poupança";1000;1000
01/10/2020;23/10/2020;"poupança";170;170
01/10/2020;27/10/2020;"poupança";1110,2;1110,2
01/11/2020;31/10/2020;"Salario_2";2945,18;2945,18
01/11/2020;15/11/2020;"Salario_1";4390;4390
01/11/2020;24/11/2020;"deposito sitio";30;30
01/11/2020;26/11/2020;"estorno";20;20
01/11/2020;26/11/2020;"estorno";20;20
01/11/2020;27/11/2020;"BO  PROMOCAO PIX CADAST";5;5
01/11/2020;19/11/2020;"ted samuel";200;200
01/11/2020;30/11/2020;"Salario_2";3075,09;3075,09
01/12/2020;15/12/2020;"Salario_1";4390;4390
01/12/2020;20/12/2020;"Salario_2";4806,28;4806,28
01/12/2020;20/12/2020;"decimo";4881,47;4881,47
01/12/2020;03/12/2020;"Reembolso";261;261
01/12/2020;15/12/2020;"poupança";3148,16;3148,16
