"idobra";"itens";"qtde";"unidade";"valor";"data_compra";;;;;;;;;;;;;;;
"GUA-3500";"cabo 1";1;"rolo";"100.00";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"cabo 2";6;"rolo";"200.0";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"cabo 4mm (01 rolo)";1;"rolo";"100.00";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"cabo de 6mm (40mt)";40;"metro";"150.00";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"disjuntor bipolar  63A 01 unidade.";1;"unidade";"150.00";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"disjuntor bipolar  40A 01 unidade.";1;"unidade";"135.00";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"disjuntor DR 63A  ";1;"unidade";"234.00";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"disjuntor bipolar 32A ";1;"unidade";"356.00";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"disjuntor unipolar 20A ";8;"unidade";"256.00";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"barramento neutro/terra";1;"unidade";"100.00";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"trilhos (suporte p/ segurar disjuntor)";1;"unidade";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"Barramento pente bipolar";1;"unidade";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"terminal de cabo 2";1;"metro";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"terminal de cabo 4mm";1;"metro";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"terminal de cabo 6mm";1;"metro";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"terminal de cabo 10mm";1;"metro";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"GUA-3500";"fita isolante";3;"unidade";"55.50";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"cabo 1";1;"rolo";"350.00";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"cabo 2";6;"rolo";"235.70";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"cabo 4mm (01 rolo)";1;"rolo";"102.56";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"cabo de 6mm (40mt)";40;"metro";"150.00";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"disjuntor bipolar  63A 01 unidade.";1;"unidade";"150.00";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"disjuntor bipolar  40A 01 unidade.";1;"unidade";"135.00";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"disjuntor DR 63A  ";1;"unidade";"234.00";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"disjuntor bipolar 32A ";1;"unidade";"356.00";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"disjuntor unipolar 20A ";8;"unidade";"256.00";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"barramento neutro/terra";1;"unidade";"100.00";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"trilhos (suporte p/ segurar disjuntor)";1;"unidade";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"Barramento pente bipolar";1;"unidade";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"terminal de cabo 2";1;"metro";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"terminal de cabo 4mm";1;"metro";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"terminal de cabo 6mm";1;"metro";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"terminal de cabo 10mm";1;"metro";"12.50";"2021-07-01";;;;;;;;;;;;;;;
"OSA-6000";"fita isolante";3;"unidade";"55.50";"2021-07-01";;;;;;;;;;;;;;;
"OSA-5770";"CABO FLEX 750V 2,50MM";100;"MT";"204.00";"2021-07-14";;;;;;;;;;;;;;;
"OSA-5770";"CABO FLEX 750V 2,50MM";100;"MT";"204.00";"2021-07-14";;;;;;;;;;;;;;;
"OSA-5770";"CABO FLEX 750V 2,50MM";200;"MT";"408.00";"2021-07-14";;;;;;;;;;;;;;;
"OSA-5770";"CABO FLEX 750V 2,50MM";100;"MT";"204.00";"2021-07-14";;;;;;;;;;;;;;;
"OSA-5770";"FITA ISOLANTE 18MMX20MT";2;"PC";"10.04";"2021-07-14";;;;;;;;;;;;;;;
"OSA-5770";"FITA ISOLANTE 19MMX20MT";1;;"17.33";"2021-07-14";;;;;;;;;;;;;;;
"OSA-5770";"CABO FLEX 750V 1,50MM";2;;"102.72";"2021-07-14";;;;;;;;;;;;;;;
"OSA-5770";"CABO FLEX 750V 6,00MM";100;"MT";"529.00";"2021-07-14";;;;;;;;;;;;;;;
"OSA-5770";"CABO	FLEX	750V	2,50MM";100;"MT";"204.00";"2021-07-14";;;;;;;;;;;;;;;0
