"descricao";"DE-PARA"
"BALA FINI 100G BAN";"doces"
"BAUDUCCO WAFER 140G";"pão"
"MAC NISSIN 85G GALIN";"macarrão"
"POMAROLA CASEI 300G";"tempero"
"DORITOS 84G NACHO";"salgadinho"
"PATINHO MOIDO";"carne"
"AG.LINDOYA 1.5L";"bebida"
"DEL VALLE 1004 IL";"bebida"
"PETIT BATAVINHO 320G";"iogurte"
"ATUM G.DA COSTA 120G";"peixe"
"MACA L. MONICA 1KG";"feira"
"PETIT DANONINHO 70G";"iogurte"
"SUCO C. LARGO 1,350ML";"bebida"
"BACON AURORA PCPD";"carne"
"AG. SANIL CANDIDA 1L";"limpeza"
"RUCULA GREEN 150G HI";"feira"
"TOMATE GREEN 300G";"feira"
"DANONINHO 320G ALGOD";"iogurte"
"AMAC.DOWNY 900ML J.C";"limpeza"
"MUS.M.CASTELO KG RAL";"carne"
"CLUB SOCIAL C12 INT";"bolacha"
"YOKITOS CONCHIN.546";"salgadinho"
"AG.BONAFONT 1,5L SG";"bebida"
"SUCO C.LARGO 1.350ML";"bebida"
"NECTAR MARATA 1L";"bebida"
"FIO D.REACH 50M";"higiene"
"DAVETTE DANONE 3600";"iogurte"
"IOG.DANONE 160G INT";"iogurte"
"YOKITOS COHCHIN.54G";"salgadinho"
"BISC.TODDY";"bolacha"
"CONFEITO M&M $ 300";"doces"
"CONFEITOS MAM S 148G";"doces"
"BISC.CLASSIC 60G";"bolacha"
"COOKIES BAUD.60G";"bolacha"
"MAC.NISSIN 85G GALIN";"macarrão"
"OLEO SOYA 900ML";"oleo"
"BISC.BAUDUCCO 80G";"bolacha"
"SAB.T. MONICA 200ML";"higiene"
"PETIT DANONINO 70G";"iogurte"
"AG. SANIT.CANDIDA 2L";"limpeza"
"SACOLA PIG VERDE";"sacola"
"SAL.SEARA KG HAMB.FT";"frios"
"GELAT.SOL 25G FRAM";"doces"
"PAO FRANCES";"pão"
"UVA CRIMSON $S 450G";"feira"
"L.COND.MOCA 395G LT";"doces"
"PAO FRANCES KG";"pão"
"L.CALAB.CERATTI";"carne"
"CHOC HERSHEYS 85G";"doces"
"BISC.CEREALE 170G";"bolacha"
"DESOD. REXONA AERO";"higiene"
"D. REXONA 90G C2";"higiene"
"DEL VALLE 1L 100XUVA";"bebida"
"B.FESTA TRIMAIS 100G";
"SUCRILHOS 690G ORIG.";
"AG.SANIT.CANDIDA 2L";
"AMEND.TRINAIS 120G";
"BISC.CEREALE 1700";
"MAGUARY IL CAJU";
"CR.D.COLGATE 180G";
"SACOLA PIG CINZA";
"BISC.COOKIE 60G";
"COOKIES BAUDUC. 100G";
"Q.MINAS TIROLEZ";
"RED BULL 355ML.";
"GELAT.DR.OETKER 20G";
"LIMP.CASAPERF 500ML";
"SUCO C. LARGO 1.350ML";
"CR.Q.DANUBIO 200G";
